idade,deaths,population,mx
1,1133,1084986,0.0010442531055700258
2,696,1208528,0.000575907219361074
3,535,1293140,0.0004137216388016765
4,395,1317075,0.0002999069908699201
5,362,1284956,0.00028172170875889914
6,297,1365720,0.00021746770934012827
7,298,1410445,0.00021128083689899287
8,247,1371930,0.00018003834014854986
9,260,1391773,0.00018681207352061005
10,314,1368311,0.0002294799939487441
11,316,1386998,0.00022783017711633326
12,360,1419093,0.00025368316241430265
13,434,1414963,0.00030672180120610925
14,594,1402526,0.0004235215603846203
15,899,1435563,0.0006262351425886569
16,1294,1449429,0.0008927653579444043
17,1627,1456612,0.0011169755569774243
18,1973,1449442,0.0013612134876731874
19,2290,1405337,0.001629502389818243
20,2533,1442328,0.0017561886061977581
21,2758,1461793,0.0018867240436915486
22,2904,1609789,0.001803963128086973
23,2859,1506346,0.0018979703202318724
24,2933,1480357,0.0019812788401716614
25,2823,1522423,0.0018542809718455383
26,2879,1498258,0.0019215649107163118
27,2957,1495797,0.0019768725301628496
28,2823,1455275,0.0019398395492260913
29,2781,1383948,0.002009468563847775
30,2672,1514820,0.0017639059426202454
31,2743,1332269,0.0020588935117457513
32,2854,1458004,0.001957470624223253
33,3126,1458102,0.0021438829382306587
34,3234,1445330,0.0022375512858655118
35,3237,1530538,0.002114942588815175
36,3370,1512719,0.002227776606230238
37,3455,1450833,0.002381390552875486
38,3462,1470784,0.002353846655933162
39,3812,1487822,0.0025621344488789654
40,4096,1657129,0.0024717448068315743
41,4228,1405028,0.003009192699362575
42,4272,1526433,0.002798681632276032
43,4436,1372374,0.003232355028585502
44,4632,1292264,0.0035844069013761895
45,4510,1335372,0.003377336053174696
46,4906,1242812,0.003947499702288037
47,4998,1209627,0.004131852215600346
48,5321,1177252,0.004519847917013519
49,5388,1139735,0.004727414706050091
50,5506,1209134,0.0045536722976940525
51,5809,1055086,0.005505712330558836
52,6100,1125950,0.005417647320040854
53,6452,1052229,0.006131745085908105
54,6800,1017980,0.006679895479282501
55,6943,1016603,0.006829608018075886
56,7467,989498,0.00754625072511516
57,7806,943188,0.008276186719932823
58,8229,964141,0.008535058668804666
59,8538,889340,0.009600377808262306
60,8379,906594,0.009242284859595365
61,8821,777287,0.011348446584080268
62,9268,823582,0.011253281397602182
63,9322,735403,0.012676042931562694
64,9975,722900,0.013798589016461475
65,9946,714188,0.013926305118540216
66,10056,636757,0.01579252367857754
67,10222,596307,0.017142176764653107
68,10635,574394,0.01851516554838665
69,10657,499941,0.021316515348811158
70,10664,528366,0.020182979222735754
71,10745,430931,0.02493438624745029
72,11096,449287,0.024696908657495097
73,10742,375005,0.028644951400647992
74,11054,360893,0.030629577187698293
75,10905,329576,0.03308796757045416
76,10754,290204,0.037056691155187386
77,10647,259762,0.04098751934463085
78,10827,253034,0.04278871614091387
79,10612,213254,0.049762255338704084
80,10109,210719,0.04797384194116335
81,10299,163352,0.06304789656692296
82,11530,185906,0.062020591051391565
83,10208,145153,0.07032579416202214
84,9592,127660,0.07513708287639041
85,9337,108204,0.08629071014010573
86,9648,106399,0.09067754396187934
87,8526,84384,0.10103811149032992
88,7225,66457,0.10871691469672119
89,7047,56301,0.12516651569243886
90,6676,54709,0.12202745434937579
91,6167,39538,0.15597652890889777
92,5667,37383,0.15159297006660782
93,4589,26317,0.17437397879697533
94,4010,21069,0.1903270207413736
95,3480,16688,0.20853307766059445
96,2901,13433,0.21596069381374228
97,2369,10091,0.2347636507779209
98,1778,7881,0.22560588757771857
99,1442,5640,0.25567375886524824
100,928,14973,0.061978227476123686
