idade,deaths,population,mx
1,8,4829,0.0016566576931041624
2,1,5512,0.000181422351233672
3,4,6002,0.0006664445184938354
4,6,6283,0.0009549578226961642
6,2,6606,0.0003027550711474417
8,1,6605,0.0001514004542013626
10,2,6733,0.0002970444081390168
11,2,6984,0.000286368843069874
12,2,7282,0.00027464982147761604
14,4,7642,0.0005234231876472127
15,6,7785,0.0007707129094412332
16,11,8140,0.0013513513513513514
17,11,8454,0.0013011592145729832
18,8,8892,0.000899685110211426
19,18,8795,0.002046617396247868
20,13,9139,0.001422475106685633
21,9,9702,0.0009276437847866419
22,10,10284,0.0009723842862699338
23,13,10155,0.0012801575578532743
24,13,10260,0.001267056530214425
25,9,10616,0.0008477769404672192
26,11,10499,0.0010477188303647967
27,17,10695,0.0015895278167367929
28,18,10181,0.0017679992142225715
29,16,9694,0.0016505054672993605
30,14,10506,0.001332571863696935
31,15,10683,0.0014040999719180005
32,21,11710,0.0017933390264730999
33,16,11915,0.0013428451531682752
34,17,12061,0.0014095016996932262
35,12,12672,0.000946969696969697
36,13,12940,0.0010046367851622876
37,34,12670,0.0026835043409629044
38,19,13343,0.0014239676234729822
39,33,13448,0.002453896490184414
40,26,15038,0.001728953318260407
41,30,13579,0.0022092937624272773
42,31,14456,0.0021444382955174324
43,34,13547,0.0025097807632686203
44,34,12955,0.002624469316866075
45,39,12994,0.0030013852547329536
46,32,11831,0.0027047586848110896
47,45,11994,0.0037518759379689846
48,48,11532,0.004162330905306972
49,45,11409,0.003944254535892716
50,53,12163,0.004357477595987832
51,53,11217,0.004724971026121066
52,68,11376,0.005977496483825597
53,67,11163,0.006001970796380901
54,62,10900,0.005688073394495413
55,76,11112,0.006839452843772498
56,79,10959,0.007208686923989415
57,96,11369,0.008444014425191309
58,102,11469,0.008893539105414596
59,84,10866,0.007730535615681944
60,122,11473,0.01063366164037305
61,108,10328,0.010457010069713401
62,129,10712,0.012042569081404032
63,139,10299,0.0134964559665987
64,124,10408,0.01191391237509608
65,148,10873,0.013611698703209786
66,162,10428,0.015535097813578827
67,186,10493,0.01772610311636329
68,201,10521,0.019104647847162818
69,200,10352,0.019319938176197836
70,200,10916,0.01832172957127153
71,209,10126,0.02063993679636579
72,223,10334,0.02157925295142249
73,215,9679,0.02221303853703895
74,230,9513,0.024177441395984444
75,237,9205,0.02574687669744704
76,223,8333,0.026761070442817714
77,241,7776,0.030992798353909466
78,276,7303,0.03779268793646447
79,252,6769,0.03722854188210962
80,275,6870,0.04002911208151383
81,288,5546,0.05192931842769564
82,271,5526,0.04904089757509953
83,300,4907,0.06113715100876299
84,293,4422,0.06625961103573044
85,287,3933,0.0729722857869311
86,233,3664,0.06359170305676856
87,238,2905,0.0819277108433735
88,225,2322,0.09689922480620156
89,211,2066,0.1021297192642788
90,216,1918,0.11261730969760167
91,190,1551,0.12250161186331399
92,180,1284,0.14018691588785046
93,154,953,0.161594963273872
94,127,814,0.15601965601965603
95,147,615,0.23902439024390243
96,109,508,0.21456692913385828
97,74,375,0.19733333333333333
98,63,245,0.2571428571428571
99,51,181,0.281767955801105
100,43,312,0.13782051282051283
