idade,deaths,population,mx
1,1951,2353945,0.0008288214040684893
2,1173,2563419,0.0004575919894484671
3,789,2699784,0.00029224560187037185
4,673,2729447,0.00024657009276970754
5,624,2640786,0.00023629328540820802
6,523,2771512,0.0001887056595822064
7,495,2831711,0.00017480597419722565
8,451,2740900,0.00016454449268488454
9,489,2764531,0.00017688352924962678
10,565,2701639,0.00020913230820253928
11,588,2717865,0.00021634628651533464
12,636,2773621,0.00022930313838840995
13,857,2745700,0.00031212441271806827
14,1234,2736136,0.0004510009736358134
15,1732,2819510,0.0006142911356937907
16,2451,2874948,0.0008525371589329615
17,3401,2910839,0.0011683916561513708
18,4190,2930177,0.0014299477471838731
19,4868,2840468,0.0017138020917679762
20,5306,2933408,0.0018088175937339777
21,5305,3012254,0.0017611396648489802
22,5462,3317163,0.0016465877618917128
23,5358,3119708,0.001717468429737655
24,5397,3083930,0.0017500397220429776
25,5425,3178228,0.0017069259977572407
26,5363,3137357,0.001709400619693583
27,5183,3151438,0.0016446460314307309
28,5110,3072702,0.0016630314296667884
29,5044,2929998,0.0017215028815719328
30,5483,3216442,0.0017046786480216338
31,5841,2878394,0.0020292565923914515
32,5911,3132756,0.0018868370214596988
33,6240,3135061,0.001990391893491068
34,6522,3110464,0.0020967932758585214
35,6852,3293985,0.0020801551919635334
36,6990,3268142,0.0021388299529212624
37,7707,3138994,0.0024552452155053497
38,8238,3202086,0.002572697922541743
39,8380,3269584,0.0025630171911778378
40,8823,3652173,0.0024158220325269366
41,9218,3130250,0.0029448127146394056
42,9597,3372479,0.0028456811739969324
43,9736,3043961,0.0031984641064717978
44,10225,2873307,0.0035586173005529866
45,10648,2964385,0.0035919760759820334
46,11172,2758999,0.004049294689849471
47,11903,2706033,0.0043986898903302365
48,12374,2635109,0.00469582093188555
49,12792,2575586,0.0049666367187894325
50,13997,2763559,0.0050648457297275
51,14785,2445642,0.006045447371283287
52,15977,2582701,0.006186159373462123
53,16813,2436674,0.006899979233988626
54,17757,2370005,0.00749238925656275
55,18999,2392559,0.007940870005713547
56,20268,2367080,0.008562448248474915
57,21171,2299171,0.009208101528768413
58,21646,2329142,0.009293551015781778
59,22689,2181154,0.010402291630943987
60,24474,2239491,0.01092837613547007
61,25278,1961686,0.012885854311036527
62,26749,2050673,0.013044010429746723
63,27200,1869504,0.014549313614734176
64,28436,1823035,0.015598164599143736
65,29051,1824761,0.015920441087901374
66,30439,1640951,0.018549609342387433
67,30949,1559964,0.019839560400111797
68,31736,1504419,0.02109518691268855
69,31878,1346137,0.023681096352005777
70,33134,1404853,0.02358538580193088
71,32751,1185459,0.02762727348647233
72,33927,1215723,0.027906850491435962
73,33515,1047908,0.031982769479763494
74,32910,1004593,0.03275953545366133
75,33239,931995,0.035664354422502265
76,34197,826969,0.04135221513744772
77,34293,747238,0.04589300865320019
78,33233,717835,0.046296154408742955
79,33534,623342,0.053797112981316834
80,36715,612385,0.05995411383361774
81,35022,495583,0.07066828361747679
82,34032,535147,0.06359374153270037
83,33866,439091,0.07712752026345336
84,34839,392824,0.08868857299961305
85,31939,339825,0.09398661075553594
86,29034,325551,0.0891841831233816
87,27930,266069,0.1049727702212584
88,27590,213729,0.1290887057909783
89,26378,184029,0.14333610463568242
90,24936,172210,0.1447999535450903
91,21315,130874,0.16286657395663004
92,19182,119685,0.16027071061536532
93,16729,87785,0.19056786466936265
94,13918,69175,0.2011998554391037
95,11619,53568,0.2169018817204301
96,9026,42055,0.2146237070502913
97,7227,30469,0.23719189996389772
98,5407,22658,0.23863536057904494
99,4174,16428,0.2540784027270514
100,3270,37814,0.08647590839371662
