idade,deaths,population,mx
1,96,27751,0.0034593347987459913
2,39,28027,0.0013915153245085095
3,21,28471,0.0007375926381230024
4,18,27815,0.000647132841991731
5,19,27096,0.0007012105107764984
6,7,27261,0.0002567770808114156
7,22,27645,0.0007958039428468078
8,9,26815,0.0003356330412082789
9,12,26623,0.0004507380836119145
10,13,26509,0.0004903994869666906
11,10,25718,0.00038883272416206547
12,7,25545,0.00027402622822470153
13,19,25512,0.0007447475697710881
14,13,24905,0.0005219835374422806
15,22,25332,0.0008684667614084952
16,28,25527,0.0010968778156461786
17,46,24722,0.0018606908826146753
18,34,24430,0.001391731477691363
19,34,23225,0.0014639397201291712
20,35,23818,0.00146947686623562
21,37,22631,0.001634925544606955
22,32,23731,0.0013484471787956682
23,35,21678,0.0016145400867238675
24,30,20763,0.0014448779078167894
25,31,20927,0.0014813398958283556
26,26,20016,0.0012989608313349321
27,26,18989,0.0013692137553320343
28,28,18489,0.0015144139758775487
29,20,17341,0.0011533360244507238
30,23,18721,0.0012285668500614283
31,38,16039,0.002369225014028306
32,36,16971,0.0021212656885274883
33,31,15831,0.001958183311224812
34,33,16032,0.0020583832335329343
35,38,16362,0.0023224544676689893
36,28,15867,0.0017646688094787924
37,33,15550,0.002122186495176849
38,29,15525,0.0018679549114331722
39,32,14921,0.0021446283761142014
40,50,16057,0.003113906707355048
41,39,13582,0.002871447504049477
42,39,14710,0.0026512576478585994
43,28,13106,0.0021364260643979855
44,48,12341,0.0038894741106879505
45,45,12548,0.0035862288810965893
46,51,11936,0.0042727882037533515
47,53,11492,0.004611903933170901
48,43,11146,0.0038578862372151443
49,35,10731,0.0032615786040443573
50,49,10932,0.004482253933406513
51,45,9453,0.004760393525864805
52,47,10178,0.004617803104735705
53,53,9193,0.005765256173175242
54,46,9008,0.005106571936056839
55,45,8917,0.00504654031624986
56,68,8626,0.007883143983306284
57,46,8241,0.005581846863244752
58,61,8324,0.007328207592503604
59,56,7804,0.007175807278318811
60,59,8223,0.007174996959747051
61,62,6703,0.009249589735939132
62,75,7383,0.010158472165786265
63,57,6212,0.009175788795878943
64,69,6280,0.010987261146496815
65,70,6081,0.01151126459463904
66,70,5502,0.01272264631043257
67,75,5452,0.013756419662509171
68,75,5283,0.014196479273140262
69,74,4628,0.01598962834917891
70,71,4910,0.014460285132382893
71,77,3899,0.019748653500897665
72,82,4251,0.019289578922606444
73,69,3394,0.020329994107248086
74,76,3232,0.023514851485148515
75,77,3130,0.024600638977635782
76,80,2825,0.02831858407079646
77,72,2737,0.026306174643770552
78,81,2609,0.0310463779225757
79,90,2227,0.04041311180960934
80,100,2264,0.044169611307420496
81,99,1834,0.0539803707742639
82,86,2155,0.03990719257540603
83,76,1464,0.05191256830601093
84,95,1454,0.06533700137551582
85,79,1185,0.06666666666666667
86,69,1209,0.05707196029776675
87,63,972,0.06481481481481481
88,68,767,0.08865710560625815
89,66,690,0.09565217391304348
90,64,673,0.0950965824665676
91,40,521,0.07677543186180422
92,44,527,0.08349146110056926
93,29,299,0.09698996655518395
94,46,299,0.15384615384615385
95,36,232,0.15517241379310345
96,26,247,0.10526315789473684
97,35,186,0.1881720430107527
98,20,167,0.11976047904191617
99,22,151,0.1456953642384106
100,24,614,0.03908794788273615
