idade,deaths,population,mx
1,118,143231,0.0008238440002513422
2,56,164812,0.00033978108390165764
3,53,179732,0.00029488349320098815
4,27,187895,0.00014369727773490515
5,26,187811,0.0001384370457534436
6,25,201312,0.00012418534414242568
7,33,209212,0.00015773473796914134
8,45,208071,0.0002162723301180847
9,35,214227,0.00016337809893244082
10,23,211398,0.00010879951560563487
11,41,213301,0.0001922166328334138
12,32,221939,0.00014418376220493018
13,50,228293,0.00021901678982710814
14,87,234600,0.000370843989769821
15,93,250685,0.0003709835051957636
16,145,266229,0.0005446438967956158
17,211,283979,0.0007430126875578828
18,240,301430,0.000796204757323425
19,322,300736,0.0010707065333049584
20,356,316962,0.0011231630290066317
21,423,330298,0.0012806617054901936
22,415,371048,0.001118453677152282
23,477,354982,0.0013437301046250233
24,424,352510,0.0012028027573685854
25,416,361841,0.0011496762390110573
26,421,360995,0.0011662211387969362
27,487,364724,0.0013352562485605553
28,492,357695,0.001375473517941263
29,475,337039,0.0014093324511406692
30,502,365186,0.00137464196327351
31,477,322420,0.0014794367595062342
32,485,350111,0.0013852749556569203
33,585,355373,0.0016461576990936283
34,607,354854,0.0017105626539365485
35,567,373883,0.0015165171992307753
36,673,374232,0.0017983496868252849
37,687,359986,0.0019084075491824681
38,679,367997,0.0018451237374217725
39,814,374589,0.0021730483276337534
40,902,419879,0.002148237944741223
41,877,357637,0.0024522071262201616
42,958,390732,0.002451808400642896
43,973,351842,0.0027654458535365306
44,1055,331069,0.0031866468923396635
45,1041,343110,0.0030340124158433155
46,1098,316209,0.0034723869339582363
47,1173,307563,0.0038138527716272764
48,1203,300241,0.004006781219087333
49,1269,291824,0.004348511431547782
50,1339,314557,0.004256780170207626
51,1371,271512,0.005049500574560241
52,1407,289554,0.004859197248181686
53,1549,269521,0.005747233054196148
54,1634,258657,0.006317246391939905
55,1732,258170,0.006708757795251191
56,1862,253023,0.007359014793121574
57,1925,240158,0.00801555642535331
58,2127,246512,0.00862838320244045
59,2062,227767,0.009053111293558768
60,2187,237836,0.009195411964546998
61,2299,199483,0.011524791586250457
62,2354,215965,0.01089991433797143
63,2494,195013,0.012788890997010456
64,2582,190009,0.013588830002789341
65,2651,188404,0.0140708265217299
66,2643,166083,0.01591372988204693
67,2612,157577,0.016576023150586698
68,2710,151231,0.01791960642989863
69,2713,131723,0.02059625122415979
70,2639,142329,0.01854154810333804
71,2806,114145,0.024582767532524422
72,2767,119624,0.02313080987092891
73,2719,99444,0.02734202164032018
74,2804,95529,0.029352343267489454
75,2625,87711,0.02992783117282895
76,2552,77409,0.03296774276892868
77,2579,68641,0.03757229644090267
78,2487,67500,0.036844444444444444
79,2506,56239,0.04455982503245079
80,2354,57260,0.04111072301781348
81,2365,44354,0.053321008251792396
82,2466,49860,0.04945848375451264
83,2359,39052,0.06040663730410734
84,2246,34633,0.06485144226604683
85,2091,29742,0.07030461972967521
86,2070,28868,0.0717056948870722
87,1903,23122,0.08230256898192198
88,1695,18166,0.09330617637344489
89,1615,16249,0.09939073173733769
90,1496,15584,0.0959958932238193
91,1412,10859,0.13003038953863155
92,1266,10682,0.11851713162329151
93,1051,7400,0.14202702702702702
94,893,6057,0.14743272246986958
95,709,4858,0.145944833264718
96,654,3954,0.165402124430956
97,522,3038,0.1718235681369322
98,379,2348,0.16141396933560476
99,343,1792,0.19140625
100,235,5426,0.043309988942130485
