idade,deaths,population,mx
1,1037,1093024,0.0009487440348976783
2,649,1156433,0.0005612084746803317
3,486,1192333,0.00040760425149685535
4,411,1190253,0.00034530473773223
5,280,1134636,0.00024677517723745764
6,302,1170494,0.0002580107202599928
7,239,1177504,0.00020297170965024322
8,239,1127376,0.00021199670739841897
9,219,1124794,0.00019470231882460256
10,200,1088589,0.00018372406849600722
11,260,1084761,0.00023968413318694164
12,282,1099645,0.00025644639861046063
13,307,1069600,0.0002870231862378459
14,356,1066359,0.00033384629379036514
15,486,1100046,0.0004417997065577258
16,628,1125518,0.0005579653101949502
17,796,1136956,0.0007001150440298481
18,960,1145853,0.0008378038020583793
19,1100,1102202,0.000998002181088403
20,1254,1140955,0.0010990792800767777
21,1358,1187543,0.001143537539272262
22,1420,1302049,0.0010905887566443353
23,1416,1226274,0.001154717461187304
24,1427,1219783,0.0011698802163991463
25,1436,1262146,0.0011377447616995181
26,1490,1247318,0.0011945630544897131
27,1600,1260961,0.0012688735020353523
28,1603,1230799,0.001302405998054922
29,1655,1181727,0.001400492668780522
30,1592,1306946,0.001218106945505017
31,1619,1196768,0.001352810235567796
32,1709,1295714,0.0013189639071585241
33,1890,1293635,0.0014609994318335543
34,1981,1281964,0.0015452852030166213
35,1999,1360303,0.001469525539530531
36,2215,1352199,0.0016380725026419929
37,2189,1299748,0.0016841726242317742
38,2378,1334216,0.0017823201040910916
39,2760,1378633,0.002001983123862551
40,2943,1543832,0.0019062955036558383
41,3010,1340272,0.002245812790239593
42,3074,1425937,0.002155775465535995
43,3241,1292912,0.002506744465207222
44,3545,1224510,0.002895035565246507
45,3637,1260177,0.002886102507822314
46,3773,1176061,0.0032081669233143518
47,3872,1165219,0.003322980486929925
48,4289,1134811,0.003779483984557781
49,4405,1121779,0.003926798415730728
50,4722,1216589,0.0038813436583760006
51,5014,1098277,0.004565332789451113
52,5475,1145518,0.004779497135793589
53,6002,1094451,0.005484028065212605
54,6267,1073375,0.005838593222312799
55,6759,1097640,0.006157756641521811
56,7639,1104876,0.006913898030186193
57,8213,1096120,0.007492792759916798
58,8702,1098578,0.007921148976221988
59,9260,1045293,0.008858760175376665
60,9655,1075252,0.00897929043610242
61,10410,967791,0.01075645464774936
62,10885,992923,0.01096258219418827
63,11730,922517,0.012715212836186216
64,12493,893382,0.013983939680897981
65,13289,905155,0.014681463395771996
66,13665,822127,0.016621519546250154
67,14322,790063,0.018127668299869757
68,14940,762933,0.019582322431982886
69,15116,699448,0.02161132778991433
70,15810,718269,0.02201125205180789
71,16205,626310,0.02587376858105411
72,16783,632174,0.026548070626125086
73,16928,560343,0.030210067762067163
74,17474,535383,0.032638316868484805
75,17929,502341,0.03569089522853998
76,17388,448170,0.0387977776290247
77,18141,408300,0.04443056576047024
78,18581,387365,0.04796767906238302
79,18760,344832,0.05440330363771344
80,18418,335236,0.05494040019568304
81,18779,280476,0.06695403528287626
82,20146,291672,0.06907073699223786
83,20088,248495,0.08083864866496308
84,19637,224637,0.08741658765029804
85,19426,196756,0.09873142369228893
86,19731,185388,0.10643083694737523
87,18702,154674,0.12091237053415571
88,17082,126013,0.1355574424860927
89,16310,108716,0.15002391552301408
90,15798,99319,0.1590632205318217
91,15305,78397,0.1952243070525658
92,13613,69808,0.1950063030025212
93,11812,52808,0.2236782305711256
94,9933,40934,0.24265891434992914
95,8430,31174,0.27041765573875665
96,6829,23912,0.2855888256942121
97,5313,16777,0.3166835548667819
98,3956,12017,0.3292002995756012
99,2982,8664,0.34418282548476453
100,2074,16485,0.12581134364573854
