ano,idade_num,obitos,exposicao,Mx
2008,16,3066,1117691,0.002743155308578131
2008,17,3804,1795283,0.0021188859917907095
2008,18,4561,2644165,0.0017249301764451158
2008,19,5221,3059531,0.0017064706976330686
2008,20,5602,3304118,0.0016954600289699096
2008,21,5466,3341023,0.0016360258519621087
2008,22,5555,3293164,0.0016868276223109446
2008,23,5365,3260285,0.0016455616610204322
2008,24,5285,3233303,0.0016345514169256638
2008,25,5826,3414148,0.001706428660971932
2008,26,5700,3358665,0.0016971028667640267
2008,27,5542,3321786,0.0016683796006124417
2008,28,5686,3291240,0.0017276163391305405
2008,29,5491,3264670,0.0016819464141858136
2008,30,5729,2998295,0.0019107526110672898
2008,31,5488,2931274,0.0018722234768909355
2008,32,5578,2888869,0.0019308594470708086
2008,33,5626,2854448,0.0019709590085368518
2008,34,5512,2824518,0.0019514834035400021
2008,35,6030,2729898,0.0022088737381396667
2008,36,5971,2650509,0.0022527748443789478
2008,37,6347,2603247,0.002438109023077718
2008,38,6509,2565586,0.002537042219594276
2008,39,6930,2533099,0.0027357793753816965
2008,40,7486,2647903,0.0028271428371809695
2008,41,7575,2551432,0.0029689209824130137
2008,42,8290,2495439,0.0033220607676645274
2008,43,8594,2453088,0.003503339464381221
2008,44,9341,2417194,0.00386439814098496
2008,45,9631,2372138,0.004060050469239142
2008,46,9788,2271285,0.00430945478000339
2008,47,10116,2212652,0.0045718892984527165
2008,48,10795,2168743,0.004977537679660522
2008,49,11130,2131941,0.005220594753794781
2008,50,12209,2047956,0.005961553861508743
2008,51,12042,1945730,0.0061889368000698965
2008,52,12554,1887610,0.006650738235122721
2008,53,13035,1844901,0.00706541977049175
2008,54,13307,1810370,0.00735043112733861
2008,55,13292,1659365,0.008010293094045011
2008,56,13934,1560689,0.008928108034336116
2008,57,14068,1506827,0.009336174623895112
2008,58,15052,1468200,0.010252009263043182
2008,59,14728,1436910,0.010249772080366898
2008,60,15850,1292805,0.012260162978948875
2008,61,15775,1202074,0.013123152152030575
2008,62,15643,1154024,0.013555177361995938
2008,63,16203,1120075,0.014465995580653082
2008,64,16771,1093030,0.01534358617787252
2008,65,17253,1005413,0.017160112312054845
2008,66,16957,923871,0.01835429405187521
2008,67,17853,881734,0.020247603018597446
2008,68,20292,852552,0.023801480730794133
2008,69,19755,829326,0.023820548252436315
2008,70,19881,755217,0.02632488410615757
2008,71,20502,683429,0.029998727007487243
2008,72,22115,647630,0.03414758426879545
2008,73,21487,622958,0.03449189190924589
2008,74,20538,602880,0.03406648089171974
2008,75,21649,553990,0.03907832271340638
2008,76,22071,492204,0.04484116342004535
2008,77,22978,462149,0.04971989553152771
2008,78,23681,441123,0.053683439766233
2008,79,22971,424468,0.05411715370769999
2008,80,22950,409728,0.0560127694470478
2008,81,22507,357243,0.06300193425763416
