idade,Feminino,Masculino
0,17982,25474
1,1381,1701
2,758,922
3,581,658
4,439,566
5,407,517
6,339,498
7,332,464
8,345,475
9,330,453
10,347,514
11,379,522
12,418,609
13,512,755
14,571,1093
15,680,1724
16,775,2416
17,780,3115
18,857,3672
19,908,4022
20,908,4481
21,983,4730
22,994,4582
23,1054,4557
24,1063,4481
25,1149,4397
26,1190,4329
27,1179,4562
28,1373,4716
29,1357,4514
30,1473,4519
31,1510,4480
32,1601,4377
33,1542,4377
34,1711,4326
35,1746,4492
36,1757,4307
37,1874,4522
38,1966,4560
39,2099,4765
40,2234,4994
41,2487,5231
42,2589,5486
43,2808,5638
44,3026,6055
45,3290,6250
46,3607,6752
47,3716,7019
48,3984,6979
49,4000,7251
50,4319,7759
51,4413,7918
52,4909,8564
53,4863,8529
54,5104,9074
55,5235,9154
56,5581,9429
57,5695,9453
58,5953,9830
59,6044,9837
60,6409,10247
61,6363,10200
62,6933,10417
63,7016,10452
64,6902,10456
65,7451,10674
66,7788,11015
67,7885,11380
68,7992,11037
69,8352,11508
70,9381,12606
71,9420,12423
72,9598,12317
73,10114,12397
74,11047,13038
75,10637,12799
76,10480,12078
77,11051,12430
78,11575,12413
79,12388,12687
80,12756,12548
81,12539,11694
82,12555,11224
83,12342,10868
84,12343,10332
85,11811,9658
86,10996,8746
87,10468,7915
88,9588,6871
89,8871,6105
90,8405,5460
91,7591,4677
92,6698,4105
93,5862,3317
94,5308,2890
95,4515,2276
96,3453,1726
97,2774,1371
98,2053,1028
99,1700,820
100,1220,578
101,784,343
102,649,265
103,548,211
104,445,157
105,245,70
106,136,36
107,78,23
108,51,15
109,31,14
110,16,5
111,8,3
112,1,1
113,1,0
114,3,2
115,4,4
