idade,1 a 3 anos,12 anos ou mais,4 a 7 anos,8 a 11 anos,Nenhuma
0,1519,513,1861,1470,1250
1,0,0,0,0,3
2,0,1,0,0,112
3,0,0,0,1,52
4,0,0,0,0,68
5,0,1,0,0,47
6,5,0,0,0,355
7,200,0,38,0,191
8,211,0,48,0,140
9,203,0,99,0,120
10,147,0,169,22,125
11,97,0,261,34,127
12,72,0,294,75,134
13,72,0,367,127,129
14,78,0,460,247,147
15,96,4,541,503,176
16,128,2,700,773,181
17,188,22,814,1092,199
18,186,72,927,1387,203
19,267,129,1079,1565,209
20,328,216,1121,1796,199
21,359,239,1249,1941,199
22,394,313,1283,1887,209
23,338,342,1346,1946,200
24,382,324,1339,1938,220
25,380,372,1290,1859,204
26,388,401,1233,1923,212
27,430,443,1324,1950,242
28,438,443,1295,1921,206
29,474,438,1268,1891,224
30,441,425,1222,1879,246
31,452,475,1224,1853,198
32,496,508,1256,1911,262
33,499,524,1437,2100,275
34,574,597,1424,2201,273
35,571,589,1418,2166,279
36,665,638,1467,2317,342
37,711,625,1517,2351,336
38,712,675,1521,2415,394
39,854,708,1687,2712,444
40,978,771,1849,2871,478
41,1046,784,1943,2795,492
42,1142,806,1934,2803,582
43,1243,831,2096,2788,574
44,1371,871,2248,2886,683
45,1310,806,2318,2881,652
46,1501,829,2543,2887,752
47,1608,791,2541,2932,835
48,1756,835,2789,3140,920
49,1875,829,2907,3170,942
50,1929,893,3198,3180,936
51,2058,894,3241,3378,1062
52,2314,985,3401,3422,1230
53,2613,945,3698,3669,1318
54,2660,1013,3901,3821,1448
55,2778,1043,4152,4020,1502
56,3133,1182,4422,4463,1678
57,3328,1339,4815,4538,1745
58,3597,1448,4922,4932,1859
59,3698,1461,5120,5069,2085
60,3825,1432,5374,5053,2003
61,4164,1566,5644,5285,2266
62,4390,1640,5967,5359,2408
63,4926,1778,6078,5463,2433
64,5249,1840,6444,5637,2830
65,5378,1899,6590,5712,2986
66,5581,1986,6687,5683,3205
67,5673,2152,6976,5711,3295
68,6115,2115,7144,5717,3760
69,6245,2205,7122,5534,3899
70,6548,2205,7287,5225,4192
71,6749,2179,7390,5136,4719
72,7118,2148,7497,4970,5137
73,7070,2106,7233,4869,5282
74,7372,2085,7642,4725,5631
75,7331,2142,7677,4637,5946
76,7193,2067,7370,4423,5948
77,7387,2008,7464,4341,6320
78,7716,1974,7714,4163,6526
79,7835,1822,7533,4013,6851
80,7438,1801,7222,3729,6953
81,7579,1760,7258,3686,7357
82,8440,1805,7873,3862,8024
83,8331,1629,7530,3829,7368
84,7740,1698,7126,3620,7488
85,7684,1616,7055,3407,7499
86,7770,1580,7144,3422,7643
87,7130,1487,6559,3277,7213
88,6369,1360,5813,2891,6517
89,6194,1209,5441,2645,6571
90,5897,1194,5207,2535,6290
91,5627,1113,4730,2412,6220
92,5051,956,4245,2180,5608
93,4360,829,3631,1921,4637
94,3690,717,3008,1569,4054
95,3058,601,2626,1341,3530
96,2415,485,2011,1145,3102
97,1928,382,1579,836,2560
98,1410,264,1099,632,1982
99,1085,179,806,497,1615
100,695,130,572,315,1151
101,569,87,422,226,1074
102,367,59,266,166,873
103,251,46,206,103,640
104,187,18,117,66,471
105,110,14,87,45,401
106,68,10,76,39,294
107,50,3,48,25,215
108,21,3,27,20,156
109,25,6,22,24,106
110,21,2,15,12,93
111,17,2,20,8,61
112,14,1,9,10,49
113,11,3,5,18,30
114,12,1,16,8,24
115,18,6,10,12,33
116,21,4,19,14,23
117,11,7,14,20,20
118,9,5,12,19,12
119,9,3,23,15,11
120,12,4,12,11,5
121,15,3,18,19,8
122,7,4,14,13,6
123,14,1,13,19,9
124,11,7,15,11,8
125,16,6,10,16,6
126,13,3,17,10,7
127,8,7,17,18,6
128,19,10,27,14,8
129,15,5,26,26,8
130,22,5,17,11,10
131,8,7,11,15,11
132,23,8,20,16,11
133,15,10,21,14,6
134,20,8,23,15,11
135,19,5,21,14,11
136,13,5,21,16,8
137,19,6,28,19,14
138,14,6,19,16,8
139,22,8,31,19,12
140,18,6,16,18,11
141,20,6,12,24,16
142,7,2,21,13,7
143,24,3,33,17,24
144,16,5,23,12,11
145,17,11,16,14,15
146,14,7,24,12,13
147,15,5,19,19,21
148,19,5,16,10,24
149,25,9,17,16,13
150,34,7,21,10,20
151,19,8,22,13,11
152,24,7,26,6,21
153,20,7,23,6,20
154,22,8,24,11,14
155,25,8,31,13,21
156,18,11,32,13,17
157,27,5,21,11,11
158,31,3,20,14,23
159,24,5,22,8,25
160,16,5,28,13,11
161,21,7,28,11,18
162,25,2,26,7,26
163,28,3,30,10,33
164,28,4,22,11,23
165,25,8,16,16,20
166,27,7,20,15,17
167,21,4,26,10,28
168,18,2,21,10,25
169,24,1,26,7,16
170,11,6,17,9,32
171,23,7,20,15,29
172,24,4,24,14,17
173,22,4,18,14,25
174,22,5,14,8,23
175,25,5,20,12,18
176,23,4,17,6,18
177,23,4,18,8,19
178,20,6,20,5,12
179,27,3,21,7,23
180,13,4,16,10,16
181,18,5,15,5,17
182,13,0,17,10,21
183,14,1,12,11,29
184,17,2,10,8,16
185,13,3,18,8,19
186,12,1,14,5,11
187,11,2,7,6,11
188,9,2,6,1,16
189,7,3,6,11,11
190,14,3,9,1,8
191,7,2,3,4,6
192,7,1,8,3,11
193,5,0,7,2,13
194,3,0,5,3,13
195,4,1,3,5,11
196,0,0,2,2,7
197,7,0,1,1,3
198,5,1,5,0,5
199,4,0,2,1,5
200,3,1,0,2,3
201,2,1,2,1,4
202,2,1,1,0,3
203,1,0,0,0,4
204,2,0,0,0,0
205,1,0,0,0,5
206,0,0,1,0,1
207,0,1,1,0,2
208,0,0,1,0,1
209,0,0,0,2,2
210,0,0,0,1,1
211,0,0,0,0,1
212,0,0,1,0,1
213,0,0,0,0,1
214,0,0,0,0,1
216,0,0,0,0,1
217,0,0,0,0,1
220,0,0,0,0,1
