idade,1 a 3 anos,12 anos ou mais,4 a 7 anos,8 a 11 anos,Nenhuma
0,8,4,7,2,18
1,0,0,1,0,0
2,0,0,0,0,93
3,0,1,0,0,66
4,0,0,0,0,49
5,0,0,0,0,66
6,0,1,0,0,256
7,214,0,18,0,139
8,206,0,40,0,106
9,208,1,92,2,87
10,147,0,207,13,88
11,90,1,275,27,85
12,94,0,279,40,100
13,89,1,404,107,106
14,115,1,532,228,136
15,168,0,741,399,151
16,204,7,964,758,131
17,308,23,1229,1108,157
18,378,83,1381,1489,159
19,427,167,1552,1728,197
20,471,248,1654,1861,203
21,446,312,1609,1889,190
22,464,321,1662,1968,199
23,486,303,1566,1905,198
24,556,350,1526,1917,202
25,529,357,1556,1904,206
26,532,361,1562,1822,206
27,548,392,1450,1745,222
28,517,407,1362,1813,200
29,503,437,1311,1795,187
30,507,475,1349,1945,257
31,586,506,1444,2016,248
32,619,543,1465,2070,259
33,667,557,1469,2164,306
34,729,633,1466,2290,288
35,762,649,1595,2285,359
36,805,661,1632,2346,326
37,897,726,1721,2662,426
38,1015,762,1860,2676,516
39,1108,843,1905,2614,476
40,1178,779,2057,2656,561
41,1275,798,2162,2825,612
42,1340,805,2312,2834,631
43,1437,808,2371,2757,670
44,1546,862,2525,2857,709
45,1661,865,2602,2969,766
46,1778,881,2826,2984,778
47,1885,872,2977,3280,862
48,1980,953,3144,3289,931
49,2109,932,3181,3460,955
50,2377,982,3632,3497,1166
51,2562,1030,3654,3736,1233
52,2754,1134,4073,3960,1347
53,2972,1145,4102,4195,1448
54,3100,1251,4403,4410,1566
55,3323,1434,4706,4741,1602
56,3713,1499,4864,4936,1852
57,3858,1549,5266,5196,1817
58,4035,1586,5247,5217,1989
59,4236,1681,5483,5351,2135
60,4812,1780,5885,5540,2337
61,4825,1893,6122,5738,2442
62,5318,1988,6472,5810,2709
63,5560,2017,6367,5911,2787
64,5891,2108,6772,5842,3051
65,6010,2171,6868,5897,3239
66,6467,2219,7141,5930,3570
67,6620,2297,7180,5871,3791
68,7028,2297,7189,5659,4204
69,7035,2257,7382,5427,4468
70,7491,2291,7483,5283,5064
71,7620,2172,7370,5031,5140
72,8082,2137,7706,4838,5544
73,7774,2174,7453,4832,5702
74,7613,2057,7202,4494,6069
75,7772,1964,7370,4251,6386
76,8237,1919,7628,4238,6444
77,8067,1896,7409,4178,6991
78,7965,1811,7099,3944,6759
79,8099,1762,6978,3755,7271
80,8960,1766,7557,3877,8388
81,8552,1651,7498,3788,7687
82,8244,1679,7089,3619,7800
83,8195,1603,7018,3463,7930
84,8704,1531,7093,3540,8094
85,7759,1445,6612,3284,7531
86,7114,1354,5927,3035,6815
87,6609,1256,5637,2853,6919
88,6743,1230,5409,2753,6915
89,6209,1217,5113,2622,6797
90,5946,1111,4682,2529,6490
91,5211,1018,4041,2098,5497
92,4595,911,3528,1885,5115
93,3950,728,3145,1602,4456
94,3253,583,2457,1355,3953
95,2659,506,2007,1094,3404
96,1952,358,1511,868,2808
97,1611,292,1166,621,2252
98,1194,213,898,491,1699
99,828,137,619,351,1580
100,683,95,391,244,1294
101,406,54,293,191,999
102,332,45,204,118,856
103,245,27,139,66,621
104,145,20,94,42,512
105,102,11,58,30,362
106,52,7,34,18,225
107,36,6,20,9,177
108,25,1,12,8,141
109,12,0,6,6,104
110,4,0,6,0,74
111,5,0,3,0,36
112,5,0,1,1,33
113,1,0,1,0,41
114,3,0,4,0,38
115,1,0,0,0,13
116,0,0,0,0,8
117,1,0,0,0,5
118,0,0,0,0,1
119,0,0,0,0,2
120,0,0,0,0,1
125,0,1,0,0,0
