idade,Feminino,Masculino
0,14173,19121
1,932,1019
2,537,635
3,345,444
4,284,389
5,279,345
6,215,308
7,201,294
8,186,265
9,196,293
10,229,336
11,261,327
12,257,379
13,365,492
14,448,786
15,515,1217
16,593,1858
17,697,2704
18,773,3416
19,887,3980
20,948,4357
21,982,4323
22,991,4470
23,1040,4318
24,1073,4324
25,1184,4241
26,1116,4247
27,1165,4018
28,1188,3921
29,1268,3775
30,1360,4119
31,1566,4272
32,1598,4313
33,1732,4508
34,1902,4620
35,2095,4754
36,2111,4879
37,2530,5177
38,2674,5564
39,2720,5659
40,3008,5813
41,3173,6045
42,3312,6284
43,3351,6385
44,3587,6638
45,3799,6849
46,3973,7198
47,4260,7643
48,4423,7951
49,4689,8103
50,5005,8992
51,5261,9523
52,5821,10155
53,6230,10582
54,6443,11313
55,7009,11989
56,7554,12711
57,7915,13256
58,8159,13487
59,8617,14071
60,9490,14984
61,9790,15485
62,10461,16287
63,10754,16444
64,11360,17074
65,11570,17479
66,12186,18253
67,12566,18382
68,12896,18839
69,13335,18543
70,14014,19119
71,13962,18787
72,14676,19247
73,14587,18924
74,14453,18451
75,14905,18332
76,15546,18649
77,15693,18598
78,15437,17795
79,15933,17598
80,17643,19069
81,17309,17712
82,17290,16739
83,17493,16370
84,18648,16190
85,17276,14661
86,15826,13207
87,15470,12457
88,15627,11963
89,15314,11063
90,14818,10117
91,12855,8460
92,11829,7352
93,10469,6258
94,8856,5061
95,7497,4121
96,5803,3223
97,4718,2508
98,3510,1896
99,2825,1349
100,2182,1087
101,1592,733
102,1254,595
103,884,412
104,662,301
105,495,184
106,293,111
107,220,80
108,163,46
109,112,45
110,78,27
111,40,12
112,38,9
113,42,8
114,47,8
115,13,3
116,7,2
117,6,1
118,1,1
119,2,0
120,1,0
125,0,1
