idade,deaths
0,33826
1,1951
2,1173
3,789
4,673
5,624
6,523
7,495
8,451
9,489
10,565
11,588
12,636
13,857
14,1234
15,1732
16,2451
17,3401
18,4190
19,4868
20,5306
21,5305
22,5462
23,5358
24,5397
25,5425
26,5363
27,5183
28,5110
29,5044
30,5483
31,5841
32,5911
33,6240
34,6522
35,6852
36,6990
37,7707
38,8238
39,8380
40,8823
41,9218
42,9597
43,9736
44,10225
45,10648
46,11172
47,11903
48,12374
49,12792
50,13997
51,14785
52,15977
53,16813
54,17757
55,18999
56,20268
57,21171
58,21646
59,22689
60,24474
61,25278
62,26749
63,27200
64,28436
65,29051
66,30439
67,30949
68,31736
69,31878
70,33134
71,32751
72,33927
73,33515
74,32910
75,33239
76,34197
77,34293
78,33233
79,33534
80,36715
81,35022
82,34032
83,33866
84,34839
85,31939
86,29034
87,27930
88,27590
89,26378
90,24936
91,21315
92,19182
93,16729
94,13918
95,11619
96,9026
97,7227
98,5407
99,4174
100,3270
101,2325
102,1849
103,1296
104,963
105,679
106,404
107,300
108,209
109,157
110,105
111,52
112,47
113,50
114,55
115,16
116,9
117,7
118,2
119,2
120,2
125,1
