idade,Amarela,Branca,Indígena,Parda,Preta
0,87,11899,599,16988,1076
1,8,750,96,912,89
2,1,462,39,585,40
3,4,319,21,387,30
4,6,241,18,354,28
5,0,255,19,301,26
6,2,189,7,281,29
7,0,167,22,253,33
8,1,151,9,250,26
9,0,177,12,257,29
10,2,198,13,295,33
11,2,205,10,320,36
12,2,227,7,332,41
13,0,317,19,457,43
14,4,407,13,711,69
15,6,496,22,1051,121
16,11,635,28,1534,191
17,11,872,46,2134,255
18,8,1079,34,2652,332
19,18,1254,34,3063,426
20,13,1465,35,3262,447
21,9,1459,37,3238,465
22,10,1572,32,3279,482
23,13,1580,35,3159,470
24,13,1545,30,3254,467
25,9,1592,31,3200,492
26,11,1583,26,3156,487
27,17,1533,26,3037,478
28,18,1576,28,2953,444
29,16,1612,20,2870,445
30,14,1732,23,3087,513
31,15,1886,38,3235,564
32,21,1882,36,3279,588
33,16,2016,31,3416,620
34,17,2159,33,3564,611
35,12,2272,38,3725,660
36,13,2345,28,3741,720
37,34,2720,33,3946,790
38,19,2809,29,4316,885
39,33,2913,32,4326,879
40,26,3051,50,4519,945
41,30,3263,39,4679,1015
42,31,3402,39,4840,1056
43,34,3490,28,4873,1090
44,34,3665,48,5100,1155
45,39,3941,45,5172,1210
46,32,4225,51,5400,1206
47,45,4508,53,5770,1255
48,48,4778,43,5851,1344
49,45,4937,35,6046,1403
50,53,5448,49,6530,1548
51,53,5900,45,6751,1637
52,68,6533,47,7237,1708
53,67,6896,53,7620,1760
54,62,7374,46,7905,1895
55,76,8198,45,8292,1929
56,79,8778,68,8757,2078
57,96,9406,46,8883,2204
58,102,9771,61,8977,2168
59,84,10334,56,9352,2296
60,122,11068,59,10005,2552
61,108,11901,62,10016,2538
62,129,12426,75,10637,2803
63,139,12934,57,10568,2787
64,124,13613,69,11089,2821
65,148,14098,70,11210,2770
66,162,14858,70,11756,2858
67,186,15438,75,11616,2857
68,201,15708,75,11970,2972
69,200,16070,74,11906,2831
70,200,16765,71,12264,2985
71,209,16926,77,11945,2761
72,223,17428,82,12493,2893
73,215,17669,69,11890,2831
74,230,17317,76,11559,2852
75,237,17693,77,11675,2681
76,223,18154,80,12038,2808
77,241,18398,72,11953,2748
78,276,18160,81,11294,2544
79,252,18290,90,11424,2612
80,275,19722,100,12857,2791
81,288,19686,99,11567,2539
82,271,19345,86,11014,2467
83,300,19602,76,10683,2381
84,293,20258,95,10949,2364
85,287,18977,79,9721,2105
86,233,17567,69,8494,1994
87,238,16894,63,8244,1813
88,225,16466,68,8339,1817
89,211,16286,66,7573,1639
90,216,15427,64,7125,1552
91,190,13440,40,5855,1275
92,180,12154,44,5172,1167
93,154,10484,29,4664,1016
94,127,8631,46,3930,843
95,147,7179,36,3253,722
96,109,5472,26,2653,562
97,74,4344,35,2088,488
98,63,3283,20,1568,347
99,51,2392,22,1300,303
100,43,1756,24,1126,233
101,27,1195,15,832,189
102,14,947,18,674,151
103,12,608,8,530,103
104,15,401,12,423,80
105,5,288,9,275,84
106,1,165,4,162,63
107,2,131,3,125,31
108,1,84,2,94,24
109,1,52,0,81,19
110,0,35,4,50,12
111,1,20,2,23,6
112,0,12,1,26,6
113,0,14,0,29,6
114,0,13,0,29,9
115,0,2,0,8,6
116,0,3,0,5,1
117,0,1,1,3,2
118,0,0,0,1,0
119,0,0,0,2,0
120,0,0,0,1,0
125,0,1,0,0,0
