idade,Casado(a),Divorciado(a),Solteiro(a),União Consensual,Viúvo(a)
0,5,0,71,6,5
2,0,0,83,0,0
3,0,0,60,0,0
4,0,0,50,0,0
5,0,0,67,0,0
6,0,0,437,0,0
7,0,0,415,0,0
8,0,0,392,0,0
9,0,0,430,0,0
10,0,0,495,0,0
11,2,1,534,0,0
12,0,0,577,1,0
13,2,0,794,0,0
14,5,1,1142,6,1
15,3,1,1636,10,0
16,5,2,2301,11,1
17,22,2,3147,30,2
18,30,6,3818,70,2
19,51,4,4402,123,4
20,81,13,4656,184,8
21,136,13,4586,200,7
22,162,28,4664,233,11
23,249,21,4468,256,5
24,315,30,4408,291,19
25,433,40,4210,334,26
26,501,61,4045,354,22
27,527,55,3814,376,28
28,602,63,3729,354,20
29,652,94,3549,367,20
30,762,113,3676,412,11
31,918,118,3863,476,14
32,966,121,3878,456,24
33,1099,192,3883,472,34
34,1235,209,3949,516,36
35,1325,222,4117,541,36
36,1471,261,4066,578,39
37,1705,353,4373,589,63
38,1763,351,4672,675,52
39,1945,420,4556,666,52
40,2076,424,4696,710,86
41,2396,489,4785,703,91
42,2406,592,4920,751,108
43,2575,614,4858,749,124
44,2912,669,4939,716,153
45,3008,778,4991,725,185
46,3183,830,5187,774,201
47,3578,954,5287,817,223
48,3940,1019,5353,771,262
49,4076,1113,5437,792,283
50,4607,1242,5657,889,379
51,5045,1346,5923,838,405
52,5677,1529,6011,912,493
53,5993,1686,6161,918,612
54,6507,1816,6217,1011,697
55,7244,2091,6349,970,845
56,7836,2292,6525,1002,1032
57,8437,2382,6517,1005,1150
58,8768,2498,6303,1040,1323
59,9445,2720,6205,967,1539
60,10147,2836,6646,1011,1863
61,10805,2958,6452,1066,2069
62,11685,3045,6371,1063,2467
63,11914,3260,6158,1042,2703
64,12593,3175,6243,1055,3150
65,13074,3267,6018,982,3426
66,13811,3395,6054,1015,3889
67,14061,3423,5833,982,4326
68,14615,3260,5727,1029,4774
69,14505,3165,5642,983,5217
70,15053,3138,5540,935,5931
71,14723,3026,5370,887,6229
72,15345,2942,5346,885,6959
73,14902,2823,5087,846,7445
74,14339,2668,4865,781,7771
75,14262,2533,4857,795,8373
76,14353,2459,4763,733,9305
77,14149,2381,4683,717,9916
78,13374,2074,4469,675,10157
79,13008,2055,4488,616,10852
80,13998,2071,4613,702,12539
81,12836,1840,4233,612,12973
82,11778,1693,4251,528,13424
83,11149,1533,4217,519,14008
84,10958,1541,3987,510,15350
85,9651,1323,3671,422,14604
86,8185,1114,3276,406,14030
87,7527,950,3121,353,14112
88,7006,907,2958,344,14455
89,6404,774,2778,301,14352
90,5407,651,2684,244,14248
91,4270,566,2205,219,12640
92,3521,430,2022,177,11746
93,2828,350,1697,123,10626
94,2107,270,1470,146,9015
95,1670,200,1291,117,7570
96,1203,153,1043,89,5953
97,871,114,846,60,4827
98,627,79,614,44,3650
99,412,50,552,36,2827
100,306,36,472,50,2166
101,197,31,420,31,1465
102,162,26,324,24,1166
103,100,20,261,19,800
104,79,10,215,21,565
105,44,5,131,10,432
106,25,0,100,5,237
107,20,2,69,3,185
108,7,2,54,3,129
109,10,0,56,1,75
110,3,1,37,1,48
111,3,1,22,1,24
112,1,0,17,1,22
113,3,0,20,0,19
114,0,0,19,0,23
115,0,0,8,0,7
116,0,0,5,0,3
117,0,1,3,0,2
118,0,0,2,0,0
119,0,0,1,0,1
120,0,0,0,0,1
125,0,0,1,0,0
