idade,Casado(a),Divorciado(a),Solteiro(a),União Consensual,Viúvo(a)
0,2375,580,2183,279,1872
1,0,0,2,0,0
2,0,0,100,0,0
3,0,0,50,0,0
4,0,0,55,0,0
5,0,0,50,0,0
6,0,0,534,0,0
7,0,0,506,0,0
8,0,0,467,0,0
9,0,0,462,0,0
10,0,0,491,0,0
11,2,0,576,0,0
12,4,0,622,1,0
13,0,0,756,1,0
14,1,1,1019,0,0
15,5,2,1446,7,2
16,10,3,1993,12,1
17,11,2,2520,29,4
18,18,4,2985,50,3
19,40,5,3454,67,2
20,65,10,3813,97,3
21,102,12,4052,182,6
22,131,11,4127,231,5
23,183,19,4091,220,10
24,267,33,4017,273,13
25,316,43,3826,251,14
26,351,51,3807,315,23
27,496,73,3862,318,28
28,501,68,3730,345,37
29,593,69,3627,347,36
30,624,97,3448,358,30
31,647,113,3429,375,20
32,766,122,3478,427,25
33,884,165,3783,438,19
34,1060,177,3798,473,28
35,1050,241,3706,444,36
36,1170,287,3921,487,38
37,1272,271,3997,453,48
38,1348,315,3950,503,61
39,1618,391,4346,561,71
40,1775,442,4684,584,63
41,1841,426,4790,589,89
42,2039,518,4598,609,87
43,2127,581,4716,622,106
44,2300,646,4981,693,132
45,2402,677,4811,678,150
46,2591,768,5034,682,173
47,2759,766,5052,709,210
48,3112,893,5318,748,233
49,3255,1017,5298,707,266
50,3556,1121,5294,711,301
51,3797,1189,5481,770,349
52,4190,1330,5684,753,402
53,4569,1518,5932,841,482
54,4998,1620,5979,869,595
55,5320,1781,6043,860,692
56,6025,2029,6426,906,859
57,6469,2134,6592,930,1044
58,7406,2287,6526,943,1126
59,7805,2448,6438,960,1378
60,8081,2626,6194,919,1519
61,8652,2872,6267,988,1910
62,9375,2874,6297,943,2068
63,9998,3048,6184,970,2377
64,10758,3185,6269,979,2872
65,11129,3167,6261,958,3266
66,11587,3323,6021,955,3517
67,11855,3366,5991,927,3975
68,12422,3435,5891,978,4510
69,12529,3321,5792,906,4777
70,12831,3256,5535,899,5454
71,13117,3139,5554,904,5852
72,13524,3135,5549,846,6421
73,13109,3062,5238,777,7024
74,13389,2949,5224,790,7835
75,13444,2820,4995,768,8260
76,12731,2627,4808,738,8682
77,12779,2542,4796,668,9459
78,12809,2400,4733,694,10210
79,12375,2284,4701,649,10807
80,11607,2091,4325,618,11174
81,11318,1976,4353,574,12081
82,11734,1950,4592,596,14125
83,11026,1745,4225,508,14157
84,9920,1563,3953,504,14524
85,9210,1439,3841,480,14944
86,8992,1418,3649,438,15982
87,7886,1229,3388,360,15340
88,6560,965,2938,316,14418
89,5789,820,2887,273,14418
90,5159,807,2686,252,14414
91,4565,660,2518,229,14210
92,3741,570,2276,221,13125
93,3005,446,1766,159,11599
94,2259,355,1578,113,10196
95,1812,274,1371,103,8693
96,1286,212,1226,92,7257
97,962,155,1022,54,5786
98,659,100,786,56,4357
99,472,86,638,54,3392
100,284,54,447,38,2347
101,226,34,427,36,1881
102,170,31,351,19,1341
103,110,21,258,18,940
104,65,7,204,16,640
105,56,12,171,11,439
106,39,4,150,13,311
107,34,9,104,6,218
108,28,8,84,4,125
109,28,3,67,10,87
110,18,3,58,7,66
111,16,2,47,6,45
112,17,6,35,2,30
113,15,5,26,3,19
114,19,4,28,3,12
115,25,6,29,1,18
116,38,4,24,4,17
117,27,7,30,1,11
118,21,8,25,6,2
119,27,9,28,3,2
120,22,6,10,4,0
121,29,7,25,6,4
122,24,6,13,2,5
123,29,5,21,4,3
124,25,7,18,1,7
125,28,8,14,3,11
126,24,9,15,4,5
127,28,7,15,2,6
128,30,17,19,2,12
129,40,11,21,4,8
130,39,10,16,4,4
131,20,6,14,5,10
132,45,7,17,3,12
133,39,6,13,2,12
134,34,12,23,3,17
135,39,7,13,7,8
136,30,5,16,2,14
137,44,10,10,3,23
138,35,8,10,4,15
139,46,12,17,0,19
140,34,9,22,1,11
141,33,7,18,0,23
142,18,12,9,2,15
143,46,11,21,2,29
144,35,9,8,1,21
145,43,7,9,1,18
146,26,10,18,3,22
147,44,7,18,2,22
148,38,4,17,3,17
149,43,6,8,3,27
150,37,7,21,5,31
151,32,5,12,3,25
152,40,12,19,4,21
153,32,10,12,1,27
154,41,10,12,2,22
155,44,6,10,1,44
156,43,7,15,1,26
157,23,8,15,1,37
158,36,8,17,1,48
159,41,9,10,3,32
160,41,7,9,1,28
161,31,4,18,1,37
162,35,3,20,2,35
163,48,2,12,1,56
164,35,5,8,2,48
165,37,6,18,1,36
166,31,5,12,3,45
167,38,5,9,3,45
168,21,8,9,3,47
169,26,9,9,0,38
170,27,2,13,1,44
171,31,8,16,2,52
172,30,4,10,1,47
173,29,3,7,4,52
174,22,1,11,3,42
175,23,1,13,1,46
176,16,4,4,0,44
177,20,2,7,1,46
178,11,4,6,1,51
179,12,1,8,2,59
180,13,5,7,0,40
181,19,3,5,0,44
182,19,2,7,1,43
183,9,2,6,0,55
184,8,0,4,2,43
185,5,3,9,0,51
186,13,1,3,0,30
187,8,1,5,2,26
188,3,0,10,0,25
189,8,1,6,0,26
190,6,0,3,1,25
191,6,0,4,0,16
192,4,1,3,0,23
193,2,0,6,1,22
194,5,1,3,0,15
195,3,0,4,0,20
196,2,0,0,1,9
197,2,0,4,0,6
198,1,1,1,0,20
199,1,0,0,0,12
200,1,0,1,0,7
201,1,0,4,0,8
202,0,0,1,0,7
203,0,0,2,1,4
204,0,0,1,0,2
205,0,0,3,0,5
206,0,0,1,0,2
207,0,0,0,1,3
208,0,0,1,0,2
209,0,0,0,0,4
210,0,0,0,0,3
211,1,0,0,1,0
212,0,0,1,0,1
213,0,0,0,0,1
214,0,0,0,0,1
216,0,0,0,0,1
217,0,0,0,0,1
220,0,0,1,0,0
