idade,Amarela,Branca,Indígena,Parda,Preta
-1,0,17,0,23,1
0,114,16151,649,19770,1806
1,2,1037,115,1133,118
2,4,649,51,696,56
3,3,486,27,535,53
4,2,411,18,395,27
5,1,280,15,362,26
6,3,302,3,297,25
7,1,239,12,298,33
8,1,239,7,247,45
9,0,219,8,260,35
10,0,200,14,314,23
11,1,260,13,316,41
12,1,282,14,360,32
13,2,307,18,434,50
14,4,356,20,594,87
15,6,486,25,899,93
16,3,628,33,1294,145
17,2,796,34,1627,211
18,5,960,34,1973,240
19,10,1100,25,2290,322
20,15,1254,35,2533,356
21,6,1358,47,2758,423
22,14,1420,35,2904,415
23,15,1416,35,2859,477
24,11,1427,27,2933,424
25,10,1436,26,2823,416
26,4,1490,28,2879,421
27,12,1600,30,2957,487
28,18,1603,33,2823,492
29,20,1655,33,2781,475
30,12,1592,31,2672,502
31,15,1619,19,2743,477
32,15,1709,36,2854,485
33,12,1890,29,3126,585
34,20,1981,41,3234,607
35,19,1999,33,3237,567
36,17,2215,26,3370,673
37,21,2189,31,3455,687
38,19,2378,26,3462,679
39,20,2760,39,3812,814
40,23,2943,36,4096,902
41,20,3010,32,4228,877
42,18,3074,31,4272,958
43,30,3241,21,4436,973
44,23,3545,33,4632,1055
45,35,3637,33,4510,1041
46,25,3773,29,4906,1098
47,39,3872,35,4998,1173
48,42,4289,30,5321,1203
49,57,4405,39,5388,1269
50,41,4722,41,5506,1339
51,49,5014,45,5809,1371
52,38,5475,44,6100,1407
53,50,6002,44,6452,1549
54,43,6267,38,6800,1634
55,51,6759,40,6943,1732
56,78,7639,44,7467,1862
57,62,8213,26,7806,1925
58,74,8702,41,8229,2127
59,83,9260,40,8538,2062
60,99,9655,49,8379,2187
61,96,10410,52,8821,2299
62,94,10885,59,9268,2354
63,115,11730,64,9322,2494
64,134,12493,53,9975,2582
65,94,13289,38,9946,2651
66,138,13665,57,10056,2643
67,134,14322,52,10222,2612
68,152,14940,69,10635,2710
69,141,15116,55,10657,2713
70,184,15810,60,10664,2639
71,176,16205,54,10745,2806
72,179,16783,60,11096,2767
73,182,16928,67,10742,2719
74,227,17474,63,11054,2804
75,229,17929,55,10905,2625
76,225,17388,76,10754,2552
77,215,18141,74,10647,2579
78,244,18581,60,10827,2487
79,239,18760,70,10612,2506
80,238,18418,70,10109,2354
81,238,18779,71,10299,2365
82,276,20146,83,11530,2466
83,257,20088,61,10208,2359
84,271,19637,67,9592,2246
85,280,19426,52,9337,2091
86,269,19731,55,9648,2070
87,287,18702,53,8526,1903
88,252,17082,51,7225,1695
89,263,16310,50,7047,1615
90,272,15798,57,6676,1496
91,208,15305,48,6167,1412
92,214,13613,47,5667,1266
93,170,11812,32,4589,1051
94,156,9933,23,4010,893
95,150,8430,24,3480,709
96,117,6829,31,2901,654
97,95,5313,20,2369,522
98,66,3956,18,1778,379
99,56,2982,20,1442,343
100,46,2074,18,928,235
101,29,1574,26,864,220
102,20,1066,14,729,148
103,13,712,11,561,129
104,8,475,6,401,87
105,9,328,5,338,64
106,4,232,6,247,65
107,3,164,3,194,31
108,2,103,4,129,26
109,3,83,2,101,26
110,0,66,1,73,25
111,1,46,2,56,22
112,1,39,1,44,7
113,1,32,0,33,8
114,0,24,1,39,7
115,0,36,0,39,8
116,0,39,1,42,7
117,0,30,0,43,10
118,0,27,0,26,14
119,0,32,1,30,10
120,1,17,0,23,4
121,0,37,0,31,6
122,0,26,0,24,8
123,0,27,0,28,13
124,0,31,0,24,4
125,0,28,0,33,5
126,0,22,0,29,9
127,2,37,0,19,4
128,0,39,0,37,9
129,1,49,1,27,12
130,0,40,0,28,7
131,0,33,1,16,10
132,0,53,0,28,8
133,0,34,0,35,6
134,0,52,0,34,6
135,0,34,0,41,8
136,0,41,0,34,4
137,0,51,0,36,8
138,1,45,0,27,5
139,1,52,0,34,11
140,0,33,0,30,15
141,0,45,0,36,5
142,0,40,0,16,3
143,1,55,1,46,11
144,1,39,0,25,11
145,2,43,0,32,6
146,0,48,0,28,8
147,0,49,0,36,6
148,1,42,0,36,5
149,0,49,0,34,9
150,0,56,0,39,11
151,0,39,0,33,7
152,0,61,0,30,7
153,0,53,0,29,5
154,1,50,0,30,7
155,2,58,0,39,7
156,0,59,0,35,8
157,1,56,0,24,6
158,0,68,0,35,6
159,2,53,0,33,7
160,0,55,1,28,4
161,0,61,0,23,6
162,0,62,0,29,6
163,0,65,0,46,15
164,0,71,0,23,9
165,0,61,0,30,6
166,1,59,0,33,6
167,0,57,1,40,9
168,2,59,0,24,4
169,1,57,0,21,6
170,2,56,1,25,4
171,0,65,1,34,12
172,0,61,0,32,7
173,1,67,0,22,7
174,1,45,0,29,5
175,0,67,0,22,5
176,0,49,0,20,0
177,0,52,0,26,5
178,0,57,0,17,1
179,2,50,0,28,6
180,2,47,1,14,4
181,2,49,0,15,5
182,1,45,0,18,7
183,0,47,0,24,4
184,1,41,0,14,4
185,0,50,0,17,4
186,0,31,0,18,2
187,0,31,0,12,2
188,0,25,1,10,4
189,1,29,0,9,5
190,0,26,0,12,2
191,0,20,0,4,4
192,0,27,0,7,1
193,0,17,0,10,4
194,0,13,0,10,3
195,0,17,0,9,2
196,0,7,0,5,0
197,0,9,0,3,1
198,0,14,0,7,2
199,0,9,0,2,1
200,1,6,0,4,0
201,0,7,0,6,0
202,1,3,0,4,0
203,0,2,0,4,1
204,0,0,0,3,1
205,0,5,0,2,1
206,0,1,0,2,0
207,0,2,0,2,0
208,0,3,0,0,1
209,0,2,0,2,0
210,0,1,0,2,0
211,0,2,0,0,0
212,0,1,0,1,0
213,0,0,0,1,0
214,0,0,0,1,0
216,0,0,0,1,0
217,0,0,0,1,0
220,0,1,0,0,0
