Dataset,Total_Deaths,Age_Range_Min,Age_Range_Max,Unique_Ages,Mean_Age_at_Death,Feminino_Deaths,Feminino_Percent,Masculino_Deaths,Masculino_Percent,Amarela_Deaths,Amarela_Percent,Branca_Deaths,Branca_Percent,Indígena_Deaths,Indígena_Percent,Parda_Deaths,Parda_Percent,Preta_Deaths,Preta_Percent,1 a 3 anos_Deaths,1 a 3 anos_Percent,12 anos ou mais_Deaths,12 anos ou mais_Percent,4 a 7 anos_Deaths,4 a 7 anos_Percent,8 a 11 anos_Deaths,8 a 11 anos_Percent,Nenhuma_Deaths,Nenhuma_Percent,Casado(a)_Deaths,Casado(a)_Percent,Divorciado(a)_Deaths,Divorciado(a)_Percent,Solteiro(a)_Deaths,Solteiro(a)_Percent,União Consensual_Deaths,União Consensual_Percent,Viúvo(a)_Deaths,Viúvo(a)_Percent
deaths_by_age,1507077,-1,220,219,65.77358887435744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deaths_by_sex,1505691,-1,220,219,65.82813073864425,683677.0,45.406195560709335,822014.0,54.59380443929066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deaths_by_race,1451796,-1,220,219,67.02710849182668,,,,,8949.0,0.6164089169552747,757724.0,52.19218127064684,4728.0,0.3256655893803262,555655.0,38.27362797528027,124740.0,8.592116247737286,,,,,,,,,,,,,,,,,,,,
deaths_by_education,1230000,0,220,218,68.82438861788619,,,,,,,,,,,,,,,292211.0,23.7569918699187,92191.0,7.49520325203252,338824.0,27.54666666666667,271038.0,22.03560975609756,235736.0,19.16552845528455,,,,,,,,,,
deaths_by_marital,1348215,0,220,218,68.8809900498066,,,,,,,,,,,,,,,,,,,,,,,,,452048.0,33.529370315565394,106320.0,7.885982576962873,376603.0,27.93345275048861,46320.0,3.4356538089251343,366924.0,27.215540548057987
